labels,tweets
1,probably interesting query taken context
0,reachd thodi baarish idhar bhej
0,good janice holly went home suck kinda want watch anymore unsure
1,wurwolf farmer good deal never ever planted anything know
1,daayumm sure know tease folk ing loud blessing good fortune alright movie
0,google maybe actually knew answer ing loud already last night getting anxious
1,waiting dress form going take though
0,trying download book onto mobi keep losing connection sometimes living stick pain rear
0,damn getting follower slow sudden tell alright friend wink
1,woke horny live money music weed cannot
0,second last cali miss west coast
1,miss much status show much miss gerty close soon
0,right lakerss alright alwasy right
0,know recently pattinson seems charming usual
0,watching casino royale could friday alright supposed like
0,hope good night tonight ireally want cannot
0,enough twice much right fooled
0,still partying minus crew
1,going boom boom morning
1,driving coffee house james state parkway jeep wrangler door roof
1,middle east small nuclear stand
1,well good long enjoyed worth loss twitter time ing loud
0,spare time trust methinking really fiction writer
1,take next week shopping
0,really wanted mcfly cannot
1,hope alright back feeling better blame jonathan brother alright call ing loud
1,watching power caarn port swannies xoxoxox
0,wish something exciting boring
1,reeses rock food food though
0,righto dozing want sleep
1,ing loud need another shut beat
0,used something similar school shut
0,ruby tuesday alone alone someone join
0,saved life taught life lesson still never gotten reply love miley
1,listening everything want vertical horizon miss time
1,last half term camp london
0,posting smartphone step blogging life step backwards social life
1,ration ration wink thanks passing message
0,email daareareyl alright poaret texted could tell
1,painting everyone think best called morning obviously
0,mile since kidlet cannot bike work
0,sign whistle posted first class recorded delivery yesterday afternoon
1,zoolander always greatest movie ever made question question
0,rumor girl work centerfold google helped search
1,ing loud zito gave lackey nice
1,really always wanted name twitter named website bullshit
0,suck though seem female morning
1,hehe assure random stuff hear
0,wishing little sister miss watching boring
0,redpants moment yesterday deff knos movement even though
1,caught lovely tench ready biggest catch might chance tomorrow
1,maddy alright family alright cute adorable
1,ing loud okey call truce rickolas
0,jayne said whack went cheenatown alex taking long went home
1,home lovely weekend drank chilled talked everything sore though
0,using isync sync sony ericsson annoying miss itunes sync without hour
0,still sick wish somewhere away eating comfort food snuggling
0,like twitter keep making disappear
0,getting integration late issued dell laptop card reader
0,giving swimsuit probably hanging ceiling home trip conveniently
1,give fonk kobe true blood alright mean good vamp show moonlight angel ing loud
1,ipod touch cannot wait home start using teasing
0,twitter hate tried tweet hour would post
1,long bleach make hair completely white sound pretty cool
1,would normally dream alright freakin weird reading couple month
0,poor steven basil brush show reduced burger king lottory scratch card advert
0,going graduate ready anymore miss
0,take minute second laptop fully boot load desktop
0,damn hand hurt probably gone gotten stitch well tough handle
0,thursday friday school cannot saturday
0,alone home rented bloody valentine mall bedtime story
0,cannot believe want thts upset straight face ing loud
1,congratulation baby news fantastic time ahead
1,came first encounter dentist teeth alright strong need regular checkup
1,superb city beautiful country hope like city country
1,sorting permit acoustica friendly chat parking service
1,good iphone download melodica simply crazy alright waiting beat spending
0,please wear mask tell much people know
0,bebo nothin steph hmph talking ing loud
0,shiwazzle bored talkin billy
1,videographers columbus cleveland want hour paid shoot workshop reply
1,encouraging support alright local record store
0,nope expensive trying sell want
0,helping housework ready time
1,either ing loud look good good clip moving photo italy robs body
0,trying human sexuality paper
1,married lucca honeymoon curious alright seem either
1,resorted back first diggnations withdrawal symptom last episode brilliant
0,grey hair although apparently according hairdresser alright well
1,alright jealous spell cannot
1,bran pregnant last season moesha seriously wanting know year
0,coming home tomorrow night
1,bride slash wedding planner good pray stay
0,okey drooling mine alright going take forever slow think tiny tomato growing
0,good cannot even summer
1,doont closed pack eaten coffee wash rest
1,best bestfriend whole world mother present ambien klonopin quarter woohoo shaking head
0,zombiepix follow anymore need someone cheer
1,nice alright opening alright present early naughty kitty
0,little upset forgot bike helmet friend house yesterday cannot bike work ready
1,pick report card please hold applause
0,definitely millionaire sadly seat missed second
1,american cafe katelyn trueblood marathon
0,talk football ticket making super depressed
0,know barely made space feel terrible going friday glad hear went well though
0,heard complete utter thug totally disgusting happened poor people
0,damn alright right thought sunday
1,early making breakfast start morning fyithe early bird sings first song
1,please article political ploy tyrannical military rule
0,work meeting tonight kinda ready
1,thanks alright right technically half hour
0,kinda effort putting brother page getting like view getting like
1,great check regular last year nice
0,must thing happen event
1,sent everything time please touch team worry take care
0,alms uare tweet alright delicious since foodd anyway gatau pindah dare binus
0,really hope work mine
1,rain like know problem sometimes rain month
0,shortest season ever alright leaving prob watch anymore
1,send accidently ing loud said hello drove hour half heading back dinner
0,phillip straight second quarter underestimate younger
0,looked comment since myspace brought back good memory kind made
1,heheh know loveyou long night kiss
1,sleep talked sarina long time good productive ready
1,amazing much good running disk utility
0,also even insurance still emergency room visit
0,really always greeting morning enough sleep look tired sleepy must small
1,alright allowed drive learner permit something know point alright tweet
1,alright trip much trouble
1,knew moving michigan would mistake still lived virginia
1,nobody cuter running errand
1,pretending party alright kitty look like lady
1,sbsettings cydia date statusbar
1,love getting jiggy wordpress think might getting techie chicago
0,cloudy cloudy raining cannot remember last time
1,message direct message follow
1,hehe alright talking princess lazy power lazys giggle
0,mentally preparing summer school call summer camp sound better
1,road movie award tune
1,donating google holiday dress princess project
0,iranian best luck wish best getting want road freedom rough
0,wore cuddle shirt cuddle
1,heard rumour want asbestos farmer
0,going town find anyone idea
1,dusty going forever home ready deserves
1,wearing requires great deal time wink believe missed
0,basking glory jumbotron debut tonight padre game woohoo home team lost
0,lovely rose street market lovely steak napier doubt hawthorn market
0,progress even mean incessant people feeling want dang tracking number
0,five xcable wind okeford maiden castle record stuck dartford
1,spear thanks following best life
1,packet ketchup every sound good ing loud would like
0,home lounging officially done highschool crazy crazy going miss everyone stay touch wink
1,probably sleep megans working project
0,take psychiatrist start adhd poor already anxiety year tough
0,burnd face burnd body good hurt life good starting like
1,finally house diego missed
1,great cannot wait watch demi rock alright please reply please love
0,suck hope okey feel helpless baby alright feeling well
0,black fine hair stick straight guess much easier time
0,wish blackberry would work
0,realized nothing mike father tomorrow
0,angry overslept stupid alarm going running minute late entire
1,eatin alright food homie beatin video game
1,watching house cancer favorite episode turn network
1,forget peep following check thanks night night
0,lewis seems problem kimi raikkonen massa must engine problem
0,home school need finish retail group assignment
1,think alright many publisher conversation write chat
0,keep applying school want teach
1,watching jimmy kimmel talk much oops
1,ing loud noticed alright took game
0,watched transformer cannot manila thunderstorm
0,macbook user removable screw removable
0,work ready going rain hope alot client coming
0,making cupcake favorite cupcake shop close early
1,sport rage come ing loud atleast scored
1,town listening good billy
1,uare thinking song alright areeally pareetty
0,kate sure believe anymore love barely watch show anymore
0,taking daisy emergency animal poor dcom
0,last ready another work still nice know ready might bring
0,love betsy johnson love watch jewelry cannot stuff though
1,cannot wait another like dream somethig alright autograph
0,also dilip slap madhubala mughaleazam break heart gave real slap totally shipped
0,know need whooped playin like
0,fixed blackberry lost contact
0,sorry xene okey well appreciate could become guzzeglammed prompt manner thankyou wink
0,placebo work monkey wondering region coding anyone know peep issue
1,keep second laame funny
0,think awful murdered pregnant woman ready grimsby
0,really yogurt island hvent
1,shall back minding business
1,need late night snack
1,taken okey fine kiddin
1,good well never mind
0,watched lost mike alright scurredd
1,want kitten work field
0,drug thug selling butterfly poodle converse uggs
1,parent hang alright church time spend together
1,going watch handphone camp
1,lately facebook game amused pretty good month till sims pretty xcited
0,alright alright alright nots letting would beer pong party nope alright going winter
1,window deservs back letting start morning
1,discovered sweet attention letterbox thanks
0,cannot fucking sleep keep nightmare
1,good luck ready girl
0,happy last interning joked ready name
1,first time moody saturday session rumba room nice little course back free drink
0,packing alone worst expirience ever twitter pack okey
0,photo school nick disappointing reality never roundhouse wasnt allowed
0,already bought food back feel like shithead
0,came home slept played sims totally skipped studying tomorrow must study
1,watching tonight hope good movie
0,sent reply dammit cannot blame hour sleep
0,pathetic reason seem part sponsored standstill
1,nothing couple litre petrol match would
0,hope little oven clear still cone insert suspense music ing loud thanks
0,promote artist follow people would look
0,whoot decided sell soule work working week humanity
1,turn word oops wrong hole sorry
0,likely kellie shame loved hear russell
0,think like forgotten suppose sure hope angry real lost angry
1,looking forward rewatching segment
0,crawfish cousin studying stats exam tues though
0,pity deserve break month study hope find something soon
0,confused meeting conflicting view converge straight answer keep busy though
1,lifted ralph waldo emerson friendly
0,caits birthday though kinda feel really sick
0,fuck think twitter hacked
0,studying really kind done know maybe toturial ready
0,finished resilience eliz edward good
1,glad back missed last
0,pretty upset mall yesterday work meet greet even know
0,great time back time start packing
0,heading work txtt please dayyss cannot wait girl
1,wonder people talk latex fetish wear hood hide thought personality
0,thanks wish menu craze people backback
0,know kimba looked really good felt took many feel stalkerish glad look okey
1,shop open mighty boosh enjoy
0,alright movie drag hell part cried died
0,home bored many question good stage like
1,could alright guidance warhol prking going search
1,would surrounded screaming good wanting come sydney
1,ing loud crackng woof
0,wish like microsoft office
1,going disgraced life make next year perfectionist suck good luckk
1,hehe keep areself busy twitter great enjoy alright meal
1,known quite realized hottness
0,completely incapable reading book make book girl good
0,sorry abandon ship last night much nattering croquet idea
1,nice degree ready much panting
1,rather wrong lawl fukt maybe alright super poor
1,niece asking aunt christy ready cannot wait tomorrow
0,sore alright icky bleh straight face
1,thanks follow friday friday thanks
1,cool cannot wait tweet ready
0,back maryvilee sadd well hello boredomm
0,know right least footage silly
1,alright leaving little liquid blob bridge
0,indian place farmer market ready bread place baguette long wait
1,flying either hopefully immersion method helping
0,give back alright time make money pareobly
1,went walk cool thee phone lovaah lovaah cuzzo ing loud love
0,sleep tonight like final summer vacation blargh
1,jayne amazing probably favorite joss character ever next spike xander
1,shout thanks follow friday best
1,finally finished catching alright blog mention wedding detail tell point
0,woken hyper chasing tail running around barking bring headache
0,lazy sunday feel like bumming celebrate grandad father
0,sorry hear kate plus
1,watched clip performed turkey alright voice really point looked happy
0,think modem failed having personal computer withdrawal
0,throat pain terrible dont leave speak
1,star trek review never proud trekker seeing movie abrams
0,account jurisdiction finally including mine certain someone abusing
1,really good blog made think childhood thanks posting
0,gosh right life boring summer miss friend
1,looking forward everyone coming round tonight
0,well hoping woke morning sore throat would gone even worse last night
1,already ing watching fogged glass
0,feel useless handful follower figured follow back etiquette
0,wish could maybe could send tele line
1,prob nice meet usually right people follow
0,anthony mean somebody else need come
0,thanks hate sick usually happy hate seeing looking
0,open know everyone leaving ready
1,love taylor swift follow
0,first event sorry missed
1,making blueberry pancake morning love sunday breakfast
0,getting rest wedding celebration alright starting tonight long asian wedding ever
1,june dublin cannot wait
1,getting ready dinner girl wicked excited
0,goddamn back hurt morning
0,cannot find hwanhee light love anyone
0,going back chattanooga tomorrow
1,thanks dusty thanks pimping blog
1,postal service band actual postal service make happy death cutie always uplifting even though
1,better tmrw might still hard time sleeping tonight thing rest
0,cannot leave brazil thomas terrible mistake listen saying ing loud
0,upgraded iphone still seen anything telefonica upgrading doubt
0,damn need finish lochinvar thingy damn sleepy
1,watching tonight show conan brien
0,denied airforce ready coupe month
1,interesting double minor penalty come score
0,freezing drivein packed blanket
1,fabulous foal another colt sandy
0,cannot resist smell cuddle clinton
1,watching hannah montanah movie
0,feel romanian family belfast alright leaving
1,well oddest question tweeted night right asking tweeting bathtub
1,brought sushi making tonight girl make delight
1,love thing heart shape hyper
0,good cannot nothing portuguese caipirinha
1,well kind thanks much glad alright busy
0,first reaction post hope
0,cannot sleep much enjoying lightning thunderstorm right outside bedrm window
0,ouch stabbing pain side rule
0,inhaled poison smoke throat chest alright really itchy
1,word band arrived ready cannot wait going amazingg
1,sound like someone good mama
0,please another vega date sold second
1,waking sight next brings smile face
1,home home good lauren good
0,hopefully find missing france people
0,unless want fail finish work sleep time left review
1,optimistic upcoming week going great week long last probably till tomorrow
0,wasted hour iphone safari search engine luck
0,work conceed defeat night
1,much rain gettin colder nothing like
1,aloha twitter awesome missed hotrock much glad back
1,bought adorable hair deff chaneling dita audrey tomorrow
1,taking vitamin ascorbic acid atleast twice
0,feeling bright cheery ready
0,nick sickness everyone getting
0,home boredd pissed want
1,packing suitcase preparing minitrip class
1,suppose would bleed color evening star anywhere wish cause wherever alright
0,trying download file going take hour file took well minute earlier
1,contest free lifetime travel london contestant favor
0,sleep sick night need ready work
1,found look like someone would like know
0,feel like father without
0,late night bestie exhausted sleep work want
1,watching hollyoaks going miss character justin vintage show sunny
0,horribly realistic dream last night want detail hope pray premonition
0,library hour wrote paragraph make dean list semester
1,soon visit soon also like visit whol week june right
1,going make cooky cupcake later
0,getting hill heart hill want lauren audrina leave though going miss
1,actually watched episode week never seem find time guess harder
0,final chapter study hour
1,well cleaning basement cousin krispy kreme reward alright excited
0,feel prefer piece problem bear worn suit since size
0,google reader email service guess blocked reader account thinking fail
0,want hangover release going july long till
0,smashed antique milk bottle
0,need extra sleep text
1,ready born sparkle alright squiffy image
1,thanks wonderful appreciated great weekend
1,dear ever really nice
1,sorry talking much tonight really busy chat room talk soon alright predicament
0,going work afternoon wishing glasto bring leeds festival
1,would love poster last panel ready comic awesome
1,chance search facebook type alex weeden club join
0,well checked little bear fast asleep noddy land bless watching city early night work
1,packing ready early flight tomorrow morning america come
1,late brunch wonder still counted brunch lunch well full
1,squash going attend toastmaster later syazwi
1,waiting airport till land cannot wait
0,jonathon ross show working iplayer hate missed first show month
1,anyone think open segment please post alright comment facebook group wall
1,remember watching america funniest video ing like ccraazy
0,want promise boyfriend anything next year nervs plane
1,love caramel alright good
1,nice wording julie make easier know alright referring time delay like tdeck lately wink
1,indeed trip planned music festival would happen link would
0,thanks hope employment short market hard
1,definitely need watch week wedding episode
0,wish could meet think would ever happen alright lucky ing loud smile
0,every week hope still even school start
1,everyone belief cater belief soap
0,work till something someone want social life
1,want british accent back help hustel
1,love alright blog adorable
0,school cannot wait till weekend
1,getting cpomputer tweet rape
1,alright kidnapping alyssa taking suprise filled weekend
0,raining parade euro pride
1,dunkin donut corner prince milledge hour still time
0,dance scene halo video
1,basically accept fact instead ignoring stuff tell later
0,wanting blood work done
1,glad ended night good real people
1,home laundrymat hard washer broken tired working night night
0,babe pain hope better tomorrow going legal hour
0,finally home cellphone fucked though
1,leeavin plane know back
0,would could keep getting error
0,keep trying invite think afraid
1,house flying dagger time favourite chinese movie cannot wait alright movie
0,absolutely nothing besides trying keep extra social people work unlike
0,needing borrow anywhere stay house take forclosure babyboy jason
0,love alices adventure wonderland bleached hair much bleaching dangerous burned hair
0,nothing woke looking template
1,follow friday kind word
1,great julie good happy thing turned around
0,listening right miss hannah montana
1,food blogger lover retweet link
1,make yesterday missd alright headed home tomorrow
1,tonight please prayer chinese release mayor nagin
0,watching movie faamm teexxtt already erin
0,trying bloody synthh going well need
1,finally start nice maybe nice ending wink
0,hour trip home hour brad found grasshopper
1,redneck occasionally serve confidence booster
1,sure right halfass duster swifferer know still want come
0,home last louboutins survive retail test foot hurt
1,husband playing rummikub tile rummy score
1,entire world would seem hope exciting though
1,totally posting update lightning outside pretty
0,missionary ready threatened kill shudnt allowed near people
1,done gamerscore thanks hasbro family game night
0,need good starbucks caffeine whip cream something alcoholdic starbucks
1,best alternative digg shout system back
1,another lapnes sesh cuzn place monday still
0,holiday already miss luis
0,biology homework really hate monday
0,working xfactor tour none mate would come parent would glasgow lemar
1,sound like lovely thought thinking coffee ready could explain
1,katrina unfortunate feel like shit aswell live minute away primark
1,really summer vacay hope alright right well always
1,told ing loud looked pretty good rawrr
0,kinda numb blank maybe thing make sense play guitar
0,lazy saturday lazy every
0,tweet made home work watchin keep mcfly
0,ticket transferred almost minute beth know email
1,thing wanted spotify nested playlist equaliser kthxbai equalizer definately please
0,least game right sorry thing
1,home could always send list movie alright good deed
0,work still feeling like punched stomach
0,even alright brother many people even talk ready madness
1,find name scriptname print
1,totally agree also love seems lovely
0,really fighting sleep right tired want
0,question soft voice shawty
1,excellent dinner favourite girl
0,feel like shit like entire life mistake want disappear invisable
1,betcha comment comment take much time good
1,much tomorrow leave road tomorrow afternoon amarillo start
0,working weekend called sick tissue hoorah need money
1,watchin love basketball another favs still bein
1,yesterday unprepared moving beautiful story hard wear glass alright tearing
0,hope fine soon since feeling well
1,always helpful sional supersonic voice recording
0,ordered print never arrived
0,never said feel good ready finally sleep eventually
1,gone night come morning soon
1,scare chad amazing sweet dream
0,cannot chocolate croissant breakfast reason
1,meant year older year wiser sure glorious occasion
0,last school upsetting weird exmaining mouth exciting
0,rest peace brother ceci miss
1,alright people make realize lucky alright
0,weather gorgeous ready shame work later miss work optional nice
1,good luck brave ing loud
0,cannot bothered chemistry physic biology
1,amen thanks lord rejoice ready faithful good
1,good bill ready rain
1,twitpic manage preorder tomorrow
1,shopping stock apartment think gelato must
1,areeally ball thearee alright weekend contin bday celeb area tion couarese woman alright
1,magic android phone vodafone alright carrying alright quite chuffed
1,want meet celebrity year anyone help wanted write something like last number
0,banged knee desk good lord clumsy lately sliced finger open yesterday head saturday
1,favorite hawaiian deep dish pizza domino
0,still feeling sick track squarespace
1,haveing warmth woman make show true emotion make feel weak strong time
0,night curfew still jalandhar
0,unsubscribing podcasts make cannot find time
1,need good aussie friend alright great aussie
1,chance tweet rubbish back
1,jits thai class cardioouch need work
1,appearance alright everything privileged
1,yellow thing putting heat everything bright need sunglass enjoy
0,board plane barcelona menorca hope back soon love short visit
1,level care tomorrow continue
1,cute played couple exactly pretty stable mean
1,prob love twitter coffee alright alright first love
0,phone great miss feature mark read mail hopefully next update
1,drinking coffee listening placebo bootleg bruxelles comme revis concert
0,come eagle killing turtle desert happens writer really miss housemd
0,hurt back cannot anything
0,pretty sure feel better tomorrow
0,scared tomorrow lord please help
0,spent hour minute staring screen farm town suck
1,think shall send lottery ticket touch time send back maybe
0,looked schedule stephen schedule
0,liked english dreading mahs
1,mean really difference jean jean mention look good
0,sorry several friend know devestating stay strong
0,omgg happened guess missed post
0,want home want jesus nice
0,realization house temporarily caffeine
0,really tired unmotivated ready neuron counted least managed lunch wink
1,good ready prepare amazed
0,fell stair ouch idiot
1,kitty name lilly photo coming soon
1,last library come handy alright music drive connected computer
1,depends alright talking walking least want time dedicate cause
1,dear sweet cannot believe thought going
0,ahmp many homework angry
0,cooking supper missed workout inability breath body ache bummer nora helper though
0,fuck still warm side island wish outside mosquito sleep
0,sound bummed missed meet anyone
1,awesome whatever working arthritis remedy soaked raisin
0,wish luck geometry regent tomorrow cyring sleep thinking
1,morning paul paul newbery actor extr ordinaire fame
0,mesa court middle earth right housing finally came ready stuck essay
1,vote alright opinion susan boyle
0,jogging really cool especially fever
1,thing twit update wathcing king hill cowboy fuck cowboy ing loud
0,sorry hope feel better later take pill change enjoy alright weekend
1,tonight show leno person visited since cannot ever better
1,think everyone home saturday night dibidis
1,move back jersey going better
1,ing loud love tweetie iphone
0,wish could wear sweat work
1,well able login bonanzle
1,eventually take hour load
0,dang messed mean pray
1,dream sleep dream thing sleep good morning everybody
1,minute strength training minute hour running hour class
1,nicople really missed stalking twitter
1,easily fall another team hard moment still supporting felipe massa
1,might well direct deposit check acct
1,back band practice temporarily deaf left lobster good
0,also desperate housewife completely crap show woman love toss
1,home wash hair waiting sister call
0,gotdang twitter heck back ididnt sent cell hate delet
1,figured watch order hope come soon ing loud love movie occasion hyper
0,back helier first time jersey enjoying pity working
1,naomi naomi naomi naomi naomi duudde watch live chat last night alright online
1,thanks buddy alright best happy monday
0,good scary thought someone hurt
0,seen entertainment news ready rumored initiated divorce paper ready
0,damn last resort hurtful
1,twisted video playin screen
0,went sleep loud music choice took coldest shower life
0,goodnight want watch ncis
0,asking look like student still exam
0,sorry missed tunnel park ready heard sick
1,guess make could surprise
1,great dream little dream
0,bored wishing softball practice
0,phwoah tuesday gone mega hard need double kick pedal
0,want relaxed summer back
0,night crazy attacking poor hollywood video employee tonight
1,madre hermana bored alright chillin
0,night everyone horrible night hope thing better
0,know stood couple foot kristen bell must meet list
1,dinner girl viewing party
1,working hard beautiful francis
0,thas tree porch little ing loud
1,alright taking headphone work tomorrow time really listen industry broadcast seems
1,radness want like matt mickey wink
0,really want moon wish playing
1,quite busy week ahead
0,wellity wellity want move back home going
1,sound awesome would love information email need
1,toronto ticket presale coming england ticket presale normal
0,hate alright phone feel like shit
1,getting tired looking forward sleep
0,already dreading carless tomorrow
0,keep getting twitter realize else posting guess back homework
1,want since live america wellie knowledge term ing loud belgium sound exciting
1,watched like almost time love ambush ing loud brother
1,keep adding student roster love
1,guess maybe wine dangerous
0,fails stuffed alright machine timing need doctor
1,school full sail hour love
1,thin fount perfect location stimulus residential
0,awesome weekend aunt best friend forever shower festivity party thoughmom aunt head back ready
0,leaving stage best concert ever
0,tried saltine cracker challenge failed
1,tired yesterday welcome party beer maybe much
1,cousin decided ride rest family mini drive beamer lancaster brother
1,looking foward listen alright album know going awesome
0,good looked spam follower going stay make spam people gone soon
0,course start thunderstorm beer
1,outside laying unopen pool working
1,enjoying sunshine people currently uploading album fire onto itunes released june
0,garden cold really come
0,well maybe outta tell thing happen actually
1,excited spending another funfilled best friend forever tomorrow
1,sure going look great dark alright always beautiful mile dosen
1,love joan river family first
0,know feel least affect alright face
0,salty onto computer ustream time slow personal computer show damn
1,follower offering sell drug married kick blocked shame nearly
0,awake cannot fall back sleep
0,ramen noodle potato chip ranch veggie banana work close
0,listen born wild instead hang think must past alright appreciation feel
1,seem good mood ready
0,ready meeting show understandable situation contact iris marie schedule personal convenient time
1,yell lady tamz hope final mean championship tamaraws
1,shopping hopefully good week
0,many usually bike fave thing going spend time work
0,nope tannage horible hurty reddness
0,hate hate hatte public transport
0,well txtd txtd back besides friend sheesh fuck
0,shit come work need buddy
0,exhausting still want party though fucked people killed
1,agree paulie need keep buddy company
1,probably horde blood horde race
1,brent alright getting injection left right
1,right conference photocopier internal mail time arrive
1,follower using everyone alright train
1,ing loud wanted reason even like beer
1,actually spelt phsycic physic seriously considering reading dictionary take praise almighty spell check
1,stop might ruin drool
1,life good life good
1,brainstorming putting finishing touch ready makeup final
1,much ghostly activity last night despite rain back tonight
0,like freakin right scared could happen hate keeping sleeping
1,gorgeous fuckin great build wall
1,poor baby love name kiwi cutie
1,alright quite multitasker alright post picture hilarious great thursday
1,ending well cannot complain ing loud like best happy
1,waited since ordered ticket finally going coldplay concert tonight excited
0,spilled water bottle bookshelf design italia book alright hanging
0,rarely blown occassions wish sleeping cocktail weapon choice wake
1,washington ready best friend
1,team miss alright beautiful alright sunshine darkness
0,good night tweet buddy long exciting twitter altho
1,awake need dressed call taxi preschool ames mood ready blah
1,kind thing illustrate study alright design
0,back brisbane seeing concert monday night awesome back work
1,good meet send alright song alright ready
0,ouch cafeteria open morning saturday wish eaten dinner yesterday
0,cold cloudy much another
1,perhaps london expo building know give much time prioritize headcrab
0,last maltesers dark chocolate unusual chocolate home well time sign
1,woah alright ready waylon
1,tomorrow antwerpen talk french flemish english embarrassed amazing
1,read downwards make sense
0,leaving minute cannot find subway token saved nicely though
0,unfortunately meeting went late ready ready maybe footy season done
1,alright super busy schedule alright able count alright cheerio ing loud following sure wink
0,want singing wham ready work
1,case company twitter marketing cheer mouth
1,show kicked saying shit right
0,excitement anywhere ing loud
0,definetaly sunday funday weather bone
1,developing script remove friend yahoo anyway yahoo suck
1,rising shining hair shop
0,allergy alright killin want scratch throat well excuse wink
0,long nasty drive stormy slip feel
1,might totally agree quite nice
1,love people call prince harry country
1,update blog came back
1,ing loud excited thinking talking android still nice looking cupcake though
0,woow window downloaded nearly bsnl actually rock service
0,okey tweetgenius better ing loud slowing phone
0,going take summer class stupid comm college class pretty much cancelled
1,always call canadia people usually look like crazy think sound cuter
1,probably point brazil safest route
1,loving weather sunshine carolina cannot beat
1,tired need sleep sleepy sleepy
1,charlotte becomes jewish need sleep school tomorrow overlee
1,enjoy alright beautiful florida raining happy sunday
0,think getting sick gahh
1,black sheep many season show
1,early finish paper least listening phil wickham
1,moon good cannot wait film
0,well know belive lvatt chile juny
0,poor baby wish give helping hand
1,ing loud work stuff business plan layout website done couch llss
0,cannot anymore week ready
0,really want opensolaris server work compared ubuntu much pain
1,blushing make appearance soon
0,okey buzzed affect warn tired affect kicked sleep time
0,ever felt like someone ignoring intentionally feel feeling intense hour
0,film looked spectacular great dialog spanish lost
1,going favorite cuzzos house crack
1,kino class listen arash aysel always song amzing
1,like right christmas like avenged sevenfold king hendrix love
1,half interesting might imagine time anyways
0,holycrap alright effing serious really need stab
1,homework probably sleep bbye twitterland
1,also thanks wisedom teeth reassurance
0,worrying many thing sleep deprived
0,start hour study session need motivation
1,look weather bottom right corner
0,someone video taking forever
0,boston roll summer already
0,cannot tough time right
0,studying social study wahh suck
0,done eating subway super delicious super full
0,really make sick keep unfollowing work
0,good watching angel lotel started playing show biggest throwback ever cannot find anywhere
0,pissed right going lose contact restore going take shower
1,really hoping checked post sometime soon
0,wasting time avoiding real life moment sick school work still
0,wish alright hiring remember
1,good morning daddy cooking breakfest
1,getting ready making dinner hopping quickly timy graduation hoof
1,really tired sorting book much book haircut
0,thing ready could contain
0,okey going fuckin crazy cooped house internet
1,killer alright amazing right alright awesome live concert wrong still crush joanna lumley
0,thing sure suck time tomorrow start studying
0,english sore throat headache
0,done check tire still word
1,good night good sleep
1,goshh actually replyed watched video time really shoot
1,moon good excited trailer last night amazing jacob look pretty edward though
0,feel like cooky cream icecream
1,dropped rugrats went well
0,monday last going august suck
1,spent hour solid playing litt luns
1,woot seek still awesome
1,year would need like stress good short burst keep alive
1,hehe could fake person pretending aiesec chennai order trash reputation
1,took detour busroute gdes thru neighborhood peaceful landscape thought kristin must designed
0,unfortunately team lost support liverpool wanted
0,watching moive making ramen noodle wanted make pizza ingredient
1,youtube mission statement screw everyone world
0,bruised fall stair last night
0,like stunk rider smelled
0,think home holiday time unpack suitcase
0,apparently music remix mean donk rather shoved
1,moscow concert really great thanks think russian
0,excited homeschooling fall really tired long weekend back work tomorrow week sick
0,know back forth back forth final decision nola early tomorrow
1,adding friend twitter stuff later
1,heading running event nice teasing
0,barbies love shaking head
0,awake feel like mega hangover even drinking even fair
1,neighborhood yard sale ready block others block radius need direction
1,thanks best friend alright ready
0,always feel emiwy wemembew remember though
0,another month chug along
0,waiting pool construction office keep making sick
1,glass display thing place hang alright wall
0,gotten shirt email saying would
1,famous circus flying trapeze family stuffed animal trapeze launched furry
0,wish could signing cannot
0,college timing feeling sleepy take care twitter
1,twittering rain driving kidding
0,baseball work next adgenda
1,iphone working xcode restore work optionclick selecting beta image itunes fixed everything
0,long story happened tell monday
1,might bite prob like
0,wicked time leaving come cannot stay night
0,going early ready need stressed vacation cruise
0,shoe fitted alright foot
0,finally cleaning last road trip march
0,modclancy away remeber last time said coming suck
0,surprise venue disappointing builder hotel gertrude fitzroy nothing middle eastern moroccan menu
0,internet fuck think going sleep afterward internet driving crazyy
1,honey lemon boiling water drinky drink
0,jesus hope finish soon
0,need starter time road
0,wanting people answer damn phone counting till buddy leaf
0,really suck supposed home couple hate border visa
0,storm woke cannot back sleep
1,cannot wait moon trailor
1,made olbermann caca list impressive jill
1,thinking salmon tonight barrett walking awesome
0,phone messed message came hour
0,getting ready head back cali
0,fighting supremacy losing cannot sleep
1,yikes casey alright going tell alright little baggage ing loud hope alright kidding
1,unless really like taste fried golden retriever kidding sparky would never anyone
0,mmhmm suck nothing found either
1,going hangout friend club happy friday everyone
1,well office guess watch later
0,christofer ingle leave show
0,tired ready never ending started fast hate happends
0,lame phone shiny circle work actual party
1,signed twitter found fiance stopped house happy till wedding
1,week exactly cannot wait
1,well love look like
1,think someone need claim name
0,still messaged movie abby
0,live like block away americana even fred
1,agree alright usually sunday affair making exception tomorrow
1,tell internet phone cannot reply tweet annoying vote
0,urgh hate washing dish
1,meant pwned wimp ing loud insult everyone
1,mean anything bring back commodore
1,sitting design application creating twitter account
1,twitter seen friend please follow follow back
0,really upset request could want nice face
0,really enjoyed last night truely sorry giving cold
0,fucking pinched nerve neck
1,apparently amazing person ever conceived love truth
1,good morning going tweet ready sacramento also going work done relaxing
1,brought clot shoe explainin rule snooker sunny good time
